Qty,Part Number,Device,Package,Ref. Desig.,Description,,Digikey Part
1,,10-XX,B3F-10XX,S2,OMRON SWITCH
1,,DCBARRELPTH,DCJACK_2MM_PTH,CN1,2.0mm DC Barrel Jack
4,,DUOLED-1X2,DUOLED-C-0603,"DL1, DL2, DL3, DL4",Digikey No :- __754-1146-1-ND__
1,,INDUCTOR0603,603,L3,Inductors
1,,PINHD-1X4,1X04,SERIAL,PIN HEADER
1,,PINHD-2X5,2X05,JP2,PIN HEADER
1,,PINHD-2X8,2X08,JP1,PIN HEADER
9,,RESISTOR,R0603,"R5, R6, R7, R10, R11, R12, R13, R20, R27",Resistance
8,0.1uF,CAPACITOR,C0603,"C5, C8, C13, C24, C29, C62, C65, C66","C0402 & C0603 are general chip capacitorsFilm Capacitor, 400V's Mouser Part No :- __ECQ-E4474KF__"
4,"0.1uF, 50V",CAPACITOR,C0603,"C1, C9, C10, C11","C0402 & C0603 are general chip capacitorsFilm Capacitor, 400V's Mouser Part No :- __ECQ-E4474KF__"
1,100k,RESISTOR,R0603,R28,Resistance
1,10K,RESISTOR,R0603,R22,Resistance,,Link
1,10k,RESISTOR,R0603,R2,Resistance
1,10nF,CAPACITOR,C0603,C22,"C0402 & C0603 are general chip capacitorsFilm Capacitor, 400V's Mouser Part No :- __ECQ-E4474KF__"
3,1k,RESISTOR,R0603,"R1, R3, R4",Resistance
1,"1nF,2kV",CAPACITOR,C0603,C12,"C0402 & C0603 are general chip capacitorsFilm Capacitor, 400V's Mouser Part No :- __ECQ-E4474KF__"
1,1uF,CAPACITOR,C0603,C89,"C0402 & C0603 are general chip capacitorsFilm Capacitor, 400V's Mouser Part No :- __ECQ-E4474KF__"
1,20k,RESISTOR,R0603,R23,Resistance
1,21000MPOE,21000MPOE,21000MPOE,U$8,,,NA
2,22,RESISTOR,R0603,"R17, R18",Resistance
1,220uF,CPOL-USE3.5-10,"E3,5-10",C3,"POLARIZED CAPACITOR, American symbol"
2,220uF,CPOL-USE5-10.5,"E5-10,5","C4, C7","POLARIZED CAPACITOR, American symbol"
1,31-XX-SMD,31-XX-SMD,BF3-31XX_SMD_PAD,WPS
1,3k,RESISTOR,R0603,R29,Resistance
1,"470uF, 25V",CPOL-EUE3.5-10,"E3,5-10",C2,"POLARIZED CAPACITOR, European symbol"
1,56pF,CAPACITOR,C0603,C14,"C0402 & C0603 are general chip capacitorsFilm Capacitor, 400V's Mouser Part No :- __ECQ-E4474KF__"
1,6.8uH 0302,INDUCTORBOURNS_SRN6045,SRN6045,L,Inductors
6,75R,RESISTOR,R0603,"R8, R14, R15, R16, R42, R43",Resistance
1,91k,RESISTOR,R0603,R9,Resistance
3,BA340A,B340A,SMA-DIODE,"D4, D5, D6",Schottky Diode,,B340A-FDICT-ND
1,DBLS201G,DBLS201G,DBS,B1,Single Phase 1.0 AMP Glass Passivated Bridge Rectifier,,DF04SCT-ND
1,DIODE-SCHOTTKY_,DIODE-SCHOTTKY_,SMA-DIODE,D3
8,FIDUCIAL,FIDUCIAL,FIDUCIAL_1MM,"U$9, U$11, U$12, U$13, U$14, U$15, U$16, U$17","For use by pick and place machines to calibrate the vision/machine, 1mm"
2,HR601680,HR601680,SOIC-16,"U$22, U$23",,,NA
1,ISOLATION_DIODE-TT8U1CT,ISOLATION_DIODE-TT8U1CT,8-TSST,U$1,Digikey No :- __FDFMA2P857CT-ND__ (6-WDFN).,,__FDFMA2P857CT-ND__
4,LIGHT_PIPE,LIGHT_PIPE,LIGHT-PIPE,"$$U$1, $$U$2, $$U$3, $$U$4",Digikey No :- __492-1313-ND__,, __492-1313-ND__
1,PUSBMXX4-TL,PUSBMXX4-TL,PUSBMXX4-TL,PTCTN,,,568-10921-1-ND
1,RF-SMA,RF-SMA,BU-SMA-H,SMA
2,RJ45-8,RJ45-8,RJHSE-5080-ND,"LAN, WAN",RJ45 Jack,,RJHSE-5080-ND
1,SKW71-,SKW71-,SKW71-SMT,SKW,,,NA
1,SKY87608,SKY87608,8PIN-SOP-8L-EP,U$5,,,NA
15,"TPB2,54","TPB2,54","B2,54","+2V, GND, PAS_VDC, PD_VDC, SP1, SP2, TP1, TP2, TP3, TP4, VBUS, VDD, VIN, VSOURCE, VVCC",Test pad
1,UFL,UFL,UFL,UFL,DIGIKEY NUMBER :- H9161-ND,,H9161-ND
1,USB-MICROB,USB-MICROB,USB-MICROB,JP4,USB Connectors,,609-4616-1-ND
1,USB_SHIELDUSB_A_VERTICAL,USB_SHIELDUSB_A_VERTICAL,USB_A_VERTICAL_PTH,USB1,,,609-1041-ND
1,mcp1826,MCP1825T,SOT223-5,MCP1826,Digikey No:- __MCP1825T-5002E/DCCT-ND__,,MCP1825T-5002E/DCCT-ND
